{s aa mx ww nn g jh l aa nn}.	{s aa lx m ww nn g jh l aa nn}.	0	0 	0
{aa iy g ow}, {t ow nx n jo nx aa}.	{aa iy g ow}. {t ow nx l jo nx aa}.	10	0 	0
{s ww m aa th ww} {s ww ui ch iy l ow} {d ey iy th ax l ww lx} {pp eh kq ax pq} {m iy tq} {p ow g wx nn}.	{s ww m aa th ww} {s ww ui ch iy l ow}, {d ey iy th ax l ww lx} {pp eh kq ax pq} {m iy tq} {p ow g wx nn}.	50	0 	0
{t ey iy th ax l ww lx} {pp eh kq ax pq} {m iy tq} {p ow g wx nn}.	{t ey iy th ax l ww lx}, {pp eh kq ax pq} {m iy tq} {p ow g wx nn}.	10	0 	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	10	0	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	10	0	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	10	0	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	10	0	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	20	0	0
{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	{eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq} {eh tq}.	10	0	0
{s aa jo nx} {zh uw nx iy} {aa n iy lx} {tt eh} {d ey iy th ax} {s aa jo nx iy} {zh ey hi aa nn d wh nn} {eh pq}.	{s aa jo nx} {zh uw nx iy} {aa n iy lx} {tt eh}, {d ey iy th ax} {s aa jo nx iy} {zh ey hi aa nn d wh nn} {eh pq}.	10	0	0
{k ww ph aa nn} {iy lx l ow} {zh ax nn hi wa hi aa s jx nn n aa jo}?	{k ww ph aa nn} {iy lx l ow} {z ax nn hi wa hi aa s jx nn n aa jo}?	10	0	0
